Sample,Treatment,Group,L-Isoleucine,Palmitoyl sphingomyelin,L-Norleucine,D-(+)-Proline,N6-Me-Adenosine,L-Phenylalanine,"N,N-Dimethyldecylamine N-oxide",1-Tetradecylamine,Hexanoylcarnitine,Creatinine,Propionylcarnitine,Betaine,Acetyl-L-carnitine,2-Aminonicotinic acid,Taurine,Dodecylamine,Acetyl-β-methylcholine,Tetrakis(2-hydroxypropyl)ethylenediamine,DL-Stachydrine,Acetylcholine,Adenosine,Erucamide,4-Guanidinobutyric acid,Hypoxanthine,Didecyldimethylammonium,Bis(2-ethylhexyl) amine,Creatine,Choline,DL-Carnitine,Caprolactam,α-Methylhistamine,Palmitoylcarnitine,Dodecyltrimethylammonium,Nicotinamide,DL-Dipalmitoylphosphatidylcholine,N-Methylnicotinamide,Docosanamide,Cannabidiol,"N,N'-Diphenylguanidine",Irgafos 168,Dextromethorphan,Cytosine,"D-1,2,3,4-Tetrahydroisoquinoline-3-carboxylic acid",Adenine,Dibutyl phosphate,"N,N-Diisopropylethylamine (DIPEA)",leucine,Histamine,Nervonic ceramide
T1_A,1w 55degrees,Fresh,1.209727027,-2.156437045,1.239231918,0.836066888,1.011302142,1.401613389,-0.81990357,-0.771384827,0.645627467,1.111492648,0.619996848,0.889748968,0.506976915,0.011393039,0.514149885,0.198738591,0.207324979,-0.606689554,0.521956498,0.519909331,-0.041241009,-0.196464334,-1.378749097,-0.022663643,-0.73398921,-0.778092203,1.547437763,1.039379731,0.954998674,0.782891229,-0.120191791,-1.00201487,-0.756746308,0.980270807,-1.339953696,-0.771168406,-0.382910839,-0.727925291,-0.111543073,-0.60922223,0.200150048,-0.262317886,1.491950774,-0.263265659,0.1110139,-0.271912106,1.472340672,-0.117704424,-0.82932261
T1_B,1w 55degrees,Fresh,1.764573112,-1.168228845,1.997738641,1.808481717,1.396877877,2.023975533,-0.706684403,-0.821248409,0.775314612,1.475667451,0.932464429,1.448500475,0.799334343,0.632786391,0.816876559,0.076145319,0.565344828,1.445999003,1.062937418,1.009551759,0.221309841,-0.421321061,-0.306800671,0.399990301,0.303312884,-0.671468311,0.203047208,1.250509822,1.398580651,1.655925639,0.164814618,0.241947145,-0.739931183,1.154520624,-0.4930297,-0.263818237,0.282392067,-0.707041319,-0.345612633,-0.714961098,-0.441629174,0.279935905,1.937690544,0.260773275,0.046095032,0.421407464,1.336007446,0.135731949,-0.458412052
T3_A,2d 55degrees,Fresh,0.537369542,1.349942996,0.408683389,0.569856901,0.78803963,0.380621842,-0.582990482,-0.521197446,1.026882503,0.033369862,0.871925846,1.066425864,1.091054276,0.882771265,1.419309714,0.74466866,1.57435669,-0.075415793,0.803829326,1.129487767,-0.032109906,0.778317931,-0.957117775,1.095167848,0.586371094,-0.451840868,0.182988694,0.661391504,0.726469044,-0.326140033,1.155868548,1.114061464,-0.642918384,0.852913456,2.195893288,-0.869357954,0.263940822,-0.660394372,2.009351844,2.007760404,2.979648767,-0.642136148,0.715223228,-0.395478487,0.306590384,0.308519186,0.133414903,-0.764187362,2.776127698
T3_B,2d 55degrees,Fresh,0.820170237,-0.140879845,0.461346867,0.499376557,0.974415424,0.330826297,-0.773655022,-0.64497871,1.119173198,0.203592874,0.978265763,1.101127051,1.174174185,1.157318781,1.253972963,1.184801122,1.382348487,-0.105229873,0.700019332,1.15403893,0.101152993,-0.452581273,-0.685715533,1.258065607,0.839263473,-0.408390153,0.162514545,0.741764545,0.715450071,-0.32891823,1.343003089,0.907090424,-0.62263721,0.907895128,0.290420556,-0.474051532,0.767069733,-0.719635285,0.629679769,-0.410892675,-0.722555631,-0.524907366,0.845689359,-0.277704101,0.860821414,1.090852018,0.152305515,-0.555074385,-0.304995902
T5_A,2d 87degrees,Fresh,0.48319057,0.441582229,0.477019582,0.797931247,0.73745836,0.36626109,-0.743353704,-0.820952902,1.080020666,0.671416984,1.09153013,0.487092056,1.010248606,1.218230586,0.882788284,-0.756305499,0.850658447,1.30542951,1.297220663,0.971366045,0.211547329,-0.249922283,-0.509866992,1.295019779,-0.450357765,-0.961954187,0.067116414,0.815027896,0.975828578,1.449922603,1.372875847,1.22381077,-0.686958445,0.762151711,0.657763894,-0.021102966,-1.194989305,-0.676559427,-0.829955684,1.24048659,-0.512728852,1.157809315,-0.29054435,1.242037931,0.07660135,1.240228945,0.693542137,0.474865648,0.283541677
T5_B,2d 87degrees,Fresh,0.556334829,0.831202627,0.505712335,0.591504547,0.752731639,0.397779309,-0.732574274,-0.761465503,0.996871637,0.887774605,1.150117187,0.552239684,1.031357829,1.163974401,0.670203521,-0.058422883,0.772424798,1.72326853,1.224114034,0.870141563,0.213243738,0.037842293,-0.598289973,1.245183011,0.288258957,-0.972271958,2.207857626,0.890793707,0.854779209,1.125438728,1.225823698,1.795500832,-0.652592477,1.012239805,1.225861557,0.044160255,-0.268773884,-0.733572221,-0.003183472,-0.420688117,0.418695857,1.523789477,-0.256977759,1.164949348,-0.535234435,0.558021536,1.055215024,0.573932749,0.839830187
T2_A,1w 55degrees,Macerated,-0.822936989,-0.295838509,-0.630716554,-0.890504471,-0.909488064,-0.562629573,1.325548244,1.614847931,-0.85795728,-0.024767729,-0.873710959,-0.742257795,-0.953925884,-1.191747453,-1.043211034,-1.849648538,-1.190658737,-1.073834471,-0.877282375,-1.125388296,-0.870977938,-0.761495693,-0.307511585,-0.611599086,-1.962758342,1.677221839,-0.578810495,-1.253840069,-0.729889173,-0.571697131,-0.846098378,-0.74042436,1.984101596,-0.732256767,-1.051045323,-0.070150138,-1.760740036,1.351482665,-1.288932362,1.035528945,-0.687036664,-0.374015107,-0.392620702,-0.185448258,-1.612942706,-1.600783856,-0.234596017,-0.128559261,-0.721172976
T2_B,1w 55degrees,Macerated,-0.781344473,-0.204008155,-0.563462418,-0.817932929,-0.908991495,-0.449695971,1.598389423,1.537521289,-0.904130639,-0.362101366,-0.912021685,-0.818317889,-0.879943028,-0.918117984,-0.932488014,-0.667006201,-0.990815217,-0.0384697,-0.892941281,-0.889339087,-1.070002615,-0.617694985,0.222023613,-0.676013718,0.256734687,1.545050624,-0.48378426,-1.065015369,-0.757684935,-1.405622428,-0.897154685,-0.755171978,1.754213002,-0.770628556,-0.867486764,-0.005624868,0.512778687,1.609203349,-1.282389596,-0.403260979,-0.093824295,-1.080328584,-0.414222378,-1.145916405,-0.811893417,-1.685949866,-1.229040256,-0.621807676,0.264708976
T4_A,2d 55degrees,Macerated,-1.06487313,1.042145373,-1.1057107,-1.36543856,-0.968021437,-1.103686755,1.352947122,1.279979445,-0.762361168,-1.838395008,-0.761399927,-1.038800949,-0.72690373,-0.24859242,-1.023613817,-1.25312534,-0.829430424,-1.165466628,-1.070088849,-1.013650251,-1.191456747,-0.545605713,0.975906096,-1.041226532,-1.414794247,1.044487245,-0.678929817,-1.237410712,-1.053917234,-0.73195956,-0.907372735,-0.463758256,0.571825379,-1.235098769,-0.197984384,-0.816695693,-1.361325296,1.233836045,-0.542128638,0.614288281,-0.297419748,-1.230575468,-0.936147801,-1.444060916,-1.45510176,-0.802950198,-1.572787028,-1.051874149,-0.248998706
T4_B,2d 55degrees,Macerated,-0.987626969,0.754038569,-0.991772149,-1.356614002,-0.941785074,-1.035580849,1.066444623,0.854761714,-0.7389265,-1.558869814,-0.724451245,-0.90170383,-0.720644624,-0.144500012,-1.040341855,0.256150017,-0.733338971,0.119353654,-0.977025757,-0.950909486,-1.01890703,-0.388927835,2.14530564,-0.977072076,0.546705251,0.961597005,-0.445717479,-1.203812584,-0.975478746,-0.88519618,-0.921697857,-0.669153844,0.671728652,-1.092684399,-0.388799187,-0.674805341,0.827588571,1.18308533,1.441966445,-0.213130419,-0.264550469,-0.908694892,-0.931274466,-1.211076716,1.439413246,-0.429900149,-0.805563255,-1.111603184,-0.454090326
