,Treatment,Group,(+/-)12(13)-DiHOME,(+/-)13-HODE,"(+/-)9,10-dihydroxy-12Z-octadecenoic acid",(+/-)9-HODE,(+/-)9-HpODE,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid","(16R,17S)-8-(4-Morpholinyl)","11,12-Epoxy-(5Z,8Z,11Z)-icosatrienoic acid",12-Hydroxydodecanoic acid,16-Hydroxyhexadecanoic acid,2'-Deoxyuridine,2-Hydroxymyristic acid,"3,4-Dihydroxybenzenesulfonic acid",4-Dodecylbenzenesulfonic acid,4-Hydroxybenzaldehyde,4-Oxoproline,"6-Chloro-5-methyl-1H-1,2,3-benzotriazole","9(Z),11(E)-Conjugated linoleic acid",Adenine,Arachidonic acid,CAPSO,Citric acid,Corchorifatty acid F,Creatine,Dodecyl sulfate,Hexadecanedioic acid,Hippuric acid,Hypoxanthine,L-Cysteinesulfinic acid,Mono(2-ethylhexyl) phthalate (MEHP),Myristic acid,Myristyl sulfate,Neopterin,Oleic acid,Palmitic acid,Palmitoleic acid,Perfluoroheptanoic acid,Perfluorohexanoic acid,Perfluorononanoic acid (PFNA),Perfluorooctanoic acid (PFOA),Taurine,Thymidine,Uracil,Xanthine,Xylenesulfonate
T1_A,1w 55degrees,Fresh,-0.047766936,-1.1950295,-1.252182827,-0.750579759,-0.385179505,-0.227770803,-0.75151476,-0.577499059,1.427125402,-0.233396523,1.540372192,0.875240272,1.488695709,-0.479911748,0.765507818,-0.442228056,0.72061029,-1.799401456,-0.350693869,-2.372643259,-2.019674392,1.775426669,-0.372627237,1.634827232,-0.786255185,0.626208324,1.475578312,0.030982623,0.52645196,0.986918813,-0.42013695,-0.764021077,-0.819781288,-1.994184873,-1.408550321,-1.891717504,0.491790101,0.249286692,0.234548256,0.363186315,0.320669992,1.589640206,1.49391061,0.785260374,-0.662647068
T1_B,1w 55degrees,Fresh,0.695343852,-0.545593453,-0.7558749,0.498098032,0.033313254,-0.264851711,-0.737430788,2.051588908,1.984273186,0.745921699,2.134463176,1.487351555,1.569152432,-0.577457722,1.084872242,0.916472313,1.251307971,-0.990104383,0.107133638,1.378595599,-0.086360378,-0.874872004,-0.462638726,0.188139189,-0.851957785,-0.135976769,2.110067757,0.414925362,1.016292827,1.036272826,0.034811759,-0.808690007,-0.064675402,-0.072610171,0.01278412,-0.29353977,-0.075378024,-0.69803363,-0.36596683,-0.280177355,0.734176571,2.090192358,1.789813748,1.579509202,-0.643514449
T2_A,1w 55degrees,Macerated,-0.731445017,2.312479713,1.362938007,-0.217215505,-0.410958504,0.058255233,1.427483158,-0.203121755,-0.716941706,-0.329456273,0.202366198,-0.09348159,-0.179451315,-0.540057054,-0.818686301,-0.480556698,-1.014701693,-0.218089813,-0.644443443,0.027045431,-0.512989442,-0.590844133,-0.452186821,-0.588862455,1.592978658,-0.248927003,-0.128147475,-0.636393135,-1.207435732,-0.812865441,-1.405054517,1.35198809,-0.62532829,-0.488991489,-1.21558995,0.490120454,-1.229974722,-0.990716335,-1.266891639,-1.215734945,-0.951420361,0.006788375,-0.4842877,-0.560027291,1.556126984
T2_B,1w 55degrees,Macerated,-0.562653957,0.99597958,1.357674017,-0.033961461,-0.347489582,-0.193096872,1.674402912,0.141698984,0.439677263,0.05487561,0.274483448,0.011812956,-0.098531355,-0.364371595,-0.911134901,-1.581302341,-0.88655003,-0.236682657,-0.778028061,0.145121997,-0.327781608,0.18384487,-0.336877749,-0.817618434,1.084221951,-0.181586736,0.037900793,-0.599757404,-1.084573515,-0.769459028,-1.065278439,1.702361948,-0.360166423,0.36997607,-1.082044734,0.48283985,-1.373473318,-1.044437541,-1.593988575,-1.565559417,-1.118806042,0.099547134,-0.297141682,-1.015174452,1.699596577
T3_A,2d 55degrees,Fresh,-0.688751265,-0.852499884,-0.851386569,-0.281271566,-0.447009123,-0.425258618,-0.653761495,-0.504778188,-0.227894346,-0.730357449,0.158616405,-0.699555358,0.143485,-0.440978633,0.005679607,0.654408843,1.239290329,-0.072026558,-0.404691689,0.286809547,-0.403423417,1.015916956,-0.415445236,0.177004091,-0.616082937,-0.804033156,-0.009041961,1.129264904,1.48225072,1.229041178,1.217689364,-0.694846408,-0.949785239,-0.453065645,1.282647771,-0.908332153,0.601078122,0.632934371,0.575281597,0.486313489,1.73004711,0.317386817,0.392367116,0.762340904,-0.630685915
T3_B,2d 55degrees,Fresh,-0.167864096,-0.683877055,-0.78009648,-0.588589627,-0.487947166,-0.461501909,-0.740748519,-0.205870842,-0.115663768,-0.716161981,0.245899974,-1.078837059,0.673683461,-0.304175166,0.146272013,0.545973946,1.19893375,0.239994009,-0.198359479,0.328039374,-0.256982078,-0.638025505,-0.423271106,0.381926156,-0.688038023,-0.519073905,0.131194804,1.220998913,1.470802839,0.825124035,0.45106277,-0.731110578,-0.714697422,-0.047854114,0.478406718,-0.413250835,0.831865146,0.987949487,0.899570797,0.886832929,1.458092664,0.336781215,0.586184385,0.798285053,-0.679788511
T4_A,2d 55degrees,Macerated,-1.171522323,-0.410538161,0.839776986,-1.177829096,-0.887990212,-0.800468384,1.179198408,-1.2103498,-1.215105375,-1.2111159,-0.890541367,-0.848857749,-0.64902604,-0.452111756,-1.57743311,-1.662759153,-1.093981804,-0.64177274,-1.431735968,-1.078918144,0.58345439,1.115850109,-0.517107688,-0.76449595,1.35069679,-0.591876276,-0.860590917,-1.131257679,-0.996442877,-1.126679025,0.716903367,1.115272606,0.744061287,-0.958164826,-0.943974843,-0.233461505,-1.342089365,-1.19736546,-1.19778223,-1.143224988,-1.003185481,-0.956682653,-1.358301301,-1.012862943,0.944438904
T4_B,2d 55degrees,Macerated,-0.89599106,-0.261734029,0.210607629,-0.896722141,-0.649889475,-0.69560205,1.060272939,-0.810466518,-0.2503689,-0.861453455,-0.719466648,-0.697476502,-0.374239079,-0.135017825,-1.097083505,-0.734169998,-1.06004065,-0.553965062,-1.099692314,-0.838494933,1.267332055,1.096013034,-0.372435068,-0.407361137,1.304021301,-0.832380895,-0.605944593,-0.994444004,-0.882614298,-0.706595632,0.083970724,1.127522578,1.790059382,-0.333904839,-0.206299108,-1.103663177,-1.170380118,-1.248885299,-0.769789498,-1.05601084,-0.855559582,-0.729947943,-1.249155829,-0.64156123,1.116091926
T5_A,2d 87degrees,Fresh,0.140367572,0.095645075,-1.112999861,0.008692246,-0.090339249,-0.402520122,-0.718014287,-0.976683368,-0.119589367,0.419597014,-0.339478129,-0.356074806,0.396043631,-0.383715075,0.556290563,1.629371242,0.737585876,0.803965184,1.532628305,0.900346243,-0.310434988,-1.234299587,-0.466827141,0.901230916,-0.758026268,-0.280542532,0.366187758,1.489828605,0.645818282,-1.169492034,1.579812707,-0.749931453,-0.714581695,1.23793748,1.689278899,0.760416847,1.326196116,1.691116462,1.42768144,1.249793916,0.822819853,-0.158743376,0.413369643,1.261579818,-0.756339708
T5_B,2d 87degrees,Fresh,-0.196957644,-0.67061646,-0.646403203,-0.353492768,-0.448178865,-0.726378022,-0.708711632,-0.030029773,-1.596424037,-0.614614854,-0.536943896,-1.147070724,0.1979818,-0.498532075,-0.643654993,0.223730857,0.390290563,0.29707738,0.971042956,0.242384595,-0.619876179,-0.344921079,-0.384574778,1.654062627,-0.792274407,-0.874075376,-0.040873332,0.981611442,0.012045171,0.216888545,-0.847217299,-0.803641274,-0.790638287,0.725688879,0.57373395,0.31264757,0.594254105,0.393508708,0.84194746,0.678807514,0.010170917,-0.561667084,0.190987792,0.163717936,-0.717553865
